zone_id,gid,tract,area,acres
951,159,428200.0,1413000.5,32.4379997253
952,160,428301.0,4354007.0,99.9540023804
953,161,428302.0,2195122.75,50.3930015564
954,162,428400.0,846621.75,19.436000824
957,163,428500.0,727393.75,16.6989994049
958,164,428600.0,958719.0,22.0090007782
19,1390,,507052.78125,11.6400003433
845,166,430200.0,5222461.5,119.89099884
848,173,430900.0,1102645.375,25.3129997253
104,620,20300.0,279033.5625,6.40600013733
850,167,430300.0,2606779.5,59.8429985046
851,168,430400.0,2926137.75,67.1750030518
853,169,430500.0,2708093.25,62.1689987183
867,183,432700.0,815659.625,18.7250003815
852,170,430600.0,2295696.0,52.7019996643
849,171,430700.0,1328631.875,30.5009994507
84,611,16700.0,474332.625,10.888999939
846,172,430800.0,1846656.25,42.3930015564
847,174,431000.0,922930.6875,21.1879997253
842,175,431100.0,934079.0625,21.4440002441
840,176,431200.0,2034970.75,46.716999054
20,1391,,397494.9375,9.125
868,177,432100.0,1054176.75,24.2010002136
869,178,432200.0,1015275.0625,23.3080005646
870,179,432300.0,1031284.875,23.6749992371
865,185,433000.0,1293522.0,29.6949996948
873,180,432400.0,6150480.5,141.195999146
872,181,432500.0,2176996.5,49.9770011902
871,182,432600.0,1679793.125,38.5629997253
866,184,432800.0,3466155.25,79.5719985962
827,217,436800.0,1015034.1875,23.3020000458
864,186,433101.0,1752243.375,40.2260017395
863,187,433102.0,1442407.5,33.1129989624
862,188,433200.0,3134979.0,71.96900177
861,189,433300.0,2477745.25,56.8810005188
860,190,433400.0,5356280.5,122.962997437
859,191,433500.0,1238092.5,28.4230003357
858,192,433600.0,1558496.25,35.7779998779
857,193,433700.0,1396153.5,32.0509986877
856,194,433800.0,1548559.5,35.5499992371
854,195,433900.0,822339.0,18.8780002594
855,196,434000.0,1145500.375,26.297000885
843,199,435200.0,2255428.75,51.7779998779
830,218,436900.0,1178044.0,27.0440006256
841,200,435300.0,1284877.375,29.4969997406
839,201,435400.0,1334968.25,30.6469993591
838,202,435500.0,1018744.8125,23.3869991302
837,203,435600.0,2033102.125,46.6739997864
836,204,435700.0,1306316.25,29.9890003204
834,206,435900.0,2419463.75,55.5429992676
833,207,436000.0,1284035.125,29.4769992828
832,208,436100.0,1270454.0,29.1660003662
184,699,32900.0,1163906.125,26.7199993134
831,209,436200.0,635889.125,14.5979995728
823,211,436401.0,3108270.0,71.3560028076
824,213,436500.0,1771639.375,40.6710014343
825,214,436601.0,1080479.0,24.8040008545
826,215,436602.0,898255.0625,20.6210002899
829,216,436700.0,794741.0,18.2450008392
812,219,437000.0,1611910.125,37.0040016174
811,221,437200.0,2588457.5,59.4230003357
814,223,437400.0,851311.5,19.5429992676
815,224,437500.0,632730.0625,14.5249996185
816,225,437600.0,816716.3125,18.7490005493
817,226,437700.0,871004.3125,19.9960002899
818,227,437800.0,1260337.25,28.9330005646
819,228,437900.0,641585.875,14.7290000916
804,229,438000.0,2473054.25,56.7739982605
791,241,440306.0,574822.0625,13.1960000992
