parcel,zoning
39429,20503
39951,20505
77998,20495
78021,20495
9059,20505
23237,20495
10534,20521
39667,20495
39668,20495
39747,20495
53578,20495
80229,20515
43576,20518
43611,20505
58130,20495
30278,20495
45441,20495
45562,20521
71603,20541
84312,20256
45825,20504
15579,20495
78235,20495
53663,20495
18132,20521
10302,20495
84104,20495
44891,20505
58357,20495
84361,20495
80565,20495
43758,20505
58440,20495
78488,20521
58479,20521
25786,20507
30682,20495
58666,20495
35555,20553
77371,20433
15722,20495
80877,20495
25983,20507
46180,20495
63356,20504
81037,20495
81076,20495
63448,20505
19268,20495
23133,20521
85154,20521
25579,20495
85330,20521
19422,20495
10691,20495
58900,20495
63324,20495
53822,20495
30461,20540
88113,20495
44305,20496
23909,20495
44484,20496
44596,20496
43995,20505
100051,20495
81436,20495
81521,20521
92102,20495
59010,20495
30847,20521
78940,20495
15742,20521
15709,20256
79005,20495
61990,20509
30839,20495
46410,20495
19681,20495
19717,20495
30987,20524
30994,20524
88439,20495
81647,20521
92365,20495
92381,20495
92382,20495
92416,20495
92574,20505
88270,20521
88274,20521
92458,20495
92474,20495
92531,20495
42180,20493
92786,20521
59364,20495
59369,20495
63735,20505
31134,20495
82134,20521
82277,20521
104276,20505
100236,20495
84896,20524
100296,20495
85580,20495
81810,20495
85594,20500
92667,20495
81874,20495
31227,20495
46742,20495
92949,20505
92971,20505
64137,20540
8054,20540
88444,20495
84153,20434
46974,20495
46980,20495
78866,20433
64068,20495
58241,20502
82173,20495
88559,20495
11025,20495
88757,20495
104415,20495
11172,20495
79365,20521
77343,20256
78506,20325
82357,20495
100351,20521
11467,20521
19836,20495
11530,20521
108033,20521
108206,20521
96257,20495
96263,20495
82570,20495
82592,20495
86129,20495
31445,20495
31465,20495
96376,20495
82601,20521
82610,20521
82630,20495
108673,20521
47099,20495
31503,20495
100803,20495
112235,20540
112388,20540
86198,20495
96584,20495
47218,20495
93246,20495
93266,20495
108800,20521
101101,20495
104713,20495
93352,20495
93365,20495
104610,20495
104666,20495
86277,20521
96929,20495
96932,20495
11695,20495
86287,20495
86316,20495
112046,20495
93482,20495
93367,20521
59837,20495
101080,20495
101110,20495
54522,20495
101186,20495
116111,20540
112316,20495
31722,20495
31774,20495
96957,20495
93675,20521
93746,20521
58834,20505
59508,20521
123473,20563
123374,20521
123407,20521
123540,20521
26651,20495
26676,20495
30251,20563
31818,20495
116503,20540
116685,20540
116763,20563
116991,20540
116698,20521
117270,20540
117253,20521
11807,20495
11829,20495
83049,20495
59955,20495
109328,20521
109419,20521
109701,20521
109720,20521
109805,20521
109808,20521
120248,20521
123908,20521
124027,20505
124110,20505
123865,20509
59069,20246
59070,20246
97037,20495
117650,20521
109102,20495
109219,20495
89115,20495
86037,20502
120671,20563
47571,20495
47601,20495
112437,20540
124278,20502
89261,20495
83318,20495
96682,20521
89411,20495
93900,20495
93987,20495
117919,20521
104903,20495
121099,20521
54841,20495
122144,20521
122149,20521
121310,20579
122510,20535
122739,20535
122271,20505
122923,20505
122818,20521
122823,20521
122482,20563
122658,20563
122799,20563
121947,20540
89549,20495
94084,20495
47768,20495
47779,20495
122872,20521
123901,20495
123015,20505
112161,20256
113055,20521
124709,20563
125100,20521
124893,20267
124247,20495
117709,20540
125699,20256
118070,20271
89575,20495
89625,20495
117615,20495
97183,20495
97237,20495
110429,20521
110250,20495
110579,20521
101563,20521
121186,20567
86254,20500
89655,20495
89688,20495
94168,20495
125689,20521
125697,20521
83397,20521
83399,20521
118653,20563
118675,20260
113098,20563
101452,20495
113407,20563
86656,20495
118810,20540
121020,20490
118870,20540
118897,20540
118959,20540
118985,20540
118743,20521
119006,20540
119143,20540
119139,20521
119230,20521
119263,20540
110265,20495
97453,20495
101653,20495
83740,20521
127411,20563
127558,20521
127614,20521
123242,20521
131313,20521
113191,20495
102254,20521
25633,20499
94370,20495
135244,20521
135272,20521
135838,20540
136149,20540
136159,20540
135493,20329
135799,20592
63677,20504
136354,20271
137496,20328
137412,20588
138010,20256
125781,20505
135535,20521
31990,20502
136446,20597
135639,20364
47459,20502
137022,20543
137251,20591
136191,20106
137952,20592
137859,20197
137015,20326
137089,20540
137333,20623
135741,20535
137498,20540
135866,20521
135933,20521
105159,20495
97600,20495
101878,20495
101883,20495
110550,20495
125588,20495
86840,20495
138652,20540
139484,20651
125634,20563
139626,20643
105670,20521
105434,20521
63393,20102
97624,20495
119552,20540
119650,20521
30103,20504
30438,20504
117455,20519
139040,20164
143281,20521
143801,20301
143452,20267
142975,20540
142978,20540
143027,20521
143432,20540
143496,20285
143837,20521
143857,20521
143945,20521
144279,20521
131797,20521
131829,20521
131937,20521
94550,20521
132173,20521
86884,20495
132073,20521
132108,20521
132319,20521
132329,20521
132512,20521
132628,20521
56548,20271
123587,20579
126311,20521
105566,20540
105612,20540
126643,20563
105898,20521
131378,20495
144722,20521
144799,20521
144710,20540
