id,name,max_height,city,max_far,coverage,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,type12,type13,type14
101218,"RESIDENTIAL- MIXED, HIGH DENSITY-50-X",50.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101219,"RESIDENTIAL- MIXED, HIGH DENSITY-65-85-N",65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101220,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101221,"RESIDENTIAL- MIXED, HIGH DENSITY-65-N",65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101222,COMMUNITY BUSINESS-65-A,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101223,"RESIDENTIAL- MIXED, HIGH DENSITY-80-B",80.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101224,COMMUNITY BUSINESS-70-X,70.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101225,COMMUNITY BUSINESS-84-E,84.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101226,SOMA RESIDENTIAL- SERVICE-130-L,130.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101227,COMMUNITY BUSINESS-96-X,96.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101228,SOMA RESIDENTIAL- SERVICE-85-X,85.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101231,DOWNTOWN- GENERAL-120-F,120.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101232,DOWNTOWN- GENERAL-120-R-2,120.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101233,DOWNTOWN- GENERAL-120-X,120.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101235,DOWNTOWN- GENERAL-160-F,160.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101237,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED-40-X",40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101238,DOWNTOWN- GENERAL-50-N,50.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101239,DOWNTOWN- GENERAL-65-A,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101240,DOWNTOWN- GENERAL-70-X,70.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101241,DOWNTOWN- GENERAL-80-130-F,130.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101242,DOWNTOWN- GENERAL-80-130-X,130.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101243,DOWNTOWN- GENERAL-80-T,80.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101244,DOWNTOWN- GENERAL-80-T-120-T,120.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101245,DOWNTOWN- GENERAL-80-T-130-T,130.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101246,SOUTH BEACH DOWNTOWN RESIDENTIAL-105-F,105.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101247,DOWNTOWN- GENERAL-85-X,85.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101248,DOWNTOWN- GENERAL-90-X,90.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101249,SOMA SERVICE- LIGHT INDUSTRIAL-40-X,40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101250,SOMA SERVICE- LIGHT INDUSTRIAL-45-X,45.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101251,SOMA SERVICE- LIGHT INDUSTRIAL-50-X,50.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107522,"RESIDENTIAL- HOUSE, ONE FAMILY- SECONDARY UNIT-40-X",40.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107523,"RESIDENTIAL- HOUSE, TWO FAMILY-105-A",105.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107524,"RESIDENTIAL- HOUSE, TWO FAMILY-105-D",105.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
100016,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",40.0,101,1.79999995232,,t,f,f,t,f,t,f,f,f,f,f,f,f,f
100023,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED-40-X",40.0,101,1.79999995232,,t,f,f,t,f,t,f,f,f,f,f,f,f,f
101252,SOMA SERVICE- LIGHT INDUSTRIAL-65-X,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101253,SOMA SERVICE- LIGHT INDUSTRIAL-85-X,85.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101255,SOMA SERVICE- LIGHT INDUSTRIAL- RESIDENTIAL-160-M,160.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101256,SOMA SERVICE- LIGHT INDUSTRIAL- RESIDENTIAL-40-X,40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101257,SOMA SERVICE- LIGHT INDUSTRIAL- RESIDENTIAL-50-X,50.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101259,SOMA- SOUTH PARK-65-X,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107526,"RESIDENTIAL- HOUSE, TWO FAMILY-160-D",160.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
104450,PUBLIC-OS,0.0,101,0.75,,f,t,t,t,f,t,f,f,f,t,f,t,t,t
107528,"RESIDENTIAL- HOUSE, TWO FAMILY-26-X",26.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101263,DOWNTOWN- OFFICE-50-X,50.0,101,9.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101266,DOWNTOWN- OFFICE-80-130-F,130.0,101,9.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101262,DOWNTOWN- OFFICE-500-S,500.0,101,9.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101260,DOWNTOWN- OFFICE-450-S,450.0,101,9.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101264,DOWNTOWN- OFFICE-550-S,550.0,101,9.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
